Point;Game;Set;Serve State;Match Server;guest Game Score;host Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
1;1;1;second;guest;0;0;host;Backhand Unforced Error;false;false;false;07:18:16;191,990005;19,1
2;1;1;second;guest;0;15;host;Backhand Unforced Error;false;false;false;07:18:44;220,130005;15,68
3;1;1;first;guest;0;30;guest;Service Winner;false;false;false;07:19:15;251,229996;2,38
4;1;1;second;guest;15;30;host;Backhand Unforced Error;false;false;false;07:19:28;264,730011;12,88
5;1;1;first;guest;15;40;guest;Forehand Unforced Error;true;false;false;07:20:01;297,269989;5,95
6;1;1;first;guest;30;40;guest;;true;false;false;07:20:32;328,200012;6,63
7;1;1;first;guest;40;40;guest;Backhand Unforced Error;false;false;true;07:21:00;356,170013;5,25
8;1;1;first;guest;AD;40;guest;Service Winner;false;false;false;07:21:26;382,339996;2,28
9;2;1;first;host;0;0;guest;Backhand Unforced Error;false;false;false;07:22:21;437,309998;4,37
10;2;1;first;host;15;0;host;Forehand Unforced Error;false;false;false;07:22:39;455,23999;5,08
11;2;1;first;host;15;15;host;Backhand Winner;false;false;false;07:23:03;479,480011;6,67
12;2;1;second;host;15;30;guest;Backhand Winner;false;false;false;07:23:26;502,640015;18,200001
13;2;1;first;host;30;30;host;Backhand Unforced Error;false;false;false;07:24:02;538,150024;4,98
14;2;1;first;host;30;40;host;Service Winner;false;false;false;07:24:22;558,51001;2,02
15;3;1;second;guest;0;0;host;Forehand Unforced Error;false;false;false;07:25:05;601,47998;15,55
16;3;1;first;guest;0;15;host;Forehand Unforced Error;false;false;false;07:25:50;646,52002;4,02
17;3;1;first;guest;0;30;host;Forehand Winner;false;false;false;07:26:10;666,719971;6,73
18;3;1;first;guest;0;40;host;Forehand Unforced Error;true;false;false;07:26:29;685,190002;9,35
19;4;1;first;host;0;0;host;Service Winner;false;false;false;07:27:55;771,159973;1,78
20;4;1;second;host;0;15;guest;Backhand Winner;false;false;false;07:28:08;783,859985;28,07
21;4;1;first;host;15;15;guest;Forehand Winner;false;false;true;07:29:00;836,429993;9,4
22;4;1;second;host;30;15;host;Forehand Unforced Error;false;false;false;07:29:28;864,200012;10,65
23;4;1;first;host;30;30;host;Forehand Winner;false;false;false;07:30:01;896,859985;6,5
24;4;1;first;host;30;40;host;Backhand Unforced Error;false;false;false;07:30:14;909,849976;28,950001
25;5;1;second;guest;0;0;host;Backhand Unforced Error;false;false;false;07:31:17;972,869995;13,98
26;5;1;second;guest;0;15;host;Double Fault;false;false;false;07:31:50;1006;13,95
27;5;1;second;guest;0;30;guest;Service Winner;false;false;false;07:32:15;1031,670044;14,03
28;5;1;first;guest;15;30;host;Backhand Unforced Error;false;false;false;07:32:51;1066,839966;7,12
29;5;1;second;guest;15;40;host;Forehand Unforced Error;true;false;false;07:33:22;1098,51001;10,05
30;6;1;first;host;0;0;host;Forehand Unforced Error;false;false;false;07:35:13;1208,880005;8,78
31;6;1;first;host;0;15;guest;Backhand Unforced Error;false;false;false;07:35:36;1232,050049;3,62
32;6;1;first;host;15;15;host;;false;false;false;07:35:52;1248,52002;11,6
33;6;1;second;host;15;30;guest;Double Fault;false;false;false;07:36:38;1294,390015;9,73
34;6;1;first;host;30;30;guest;;false;false;false;07:37:07;1323,52002;6,25
35;6;1;second;host;40;30;host;;true;false;false;07:37:38;1354,619995;9,67
36;6;1;first;host;40;40;host;Backhand Unforced Error;false;false;false;07:38:06;1382,319946;12,65
37;6;1;first;host;40;AD;guest;;false;false;false;07:38:37;1413,359985;5,42
38;6;1;first;host;40;40;host;Backhand Unforced Error;false;false;false;07:38:59;1435,089966;13,18
39;6;1;first;host;40;AD;host;Backhand Winner;false;false;false;07:39:29;1464,890015;6,13
40;7;1;second;guest;0;0;host;;false;false;false;07:40:26;1522,459961;14,63
41;7;1;first;guest;0;15;host;Forehand Unforced Error;false;false;false;07:41:04;1560,530029;4,05
42;7;1;first;guest;0;30;guest;Service Winner;false;false;false;07:41:25;1581,599976;2,18
43;7;1;second;guest;15;30;host;Double Fault;false;false;false;07:41:48;1604,040039;15,5
44;7;1;first;guest;15;40;host;Forehand Unforced Error;true;false;false;07:42:15;1630,869995;4,22
45;8;2;first;host;0;0;guest;Backhand Unforced Error;false;false;false;07:43:42;1718,410034;3,58
46;8;2;first;host;15;0;guest;Forehand Unforced Error;false;false;false;07:43:56;1732,540039;6,55
47;8;2;first;host;30;0;host;Forehand Unforced Error;false;false;false;07:44:14;1749,939941;8,2
48;8;2;first;host;30;15;host;Forehand Unforced Error;false;false;false;07:44:40;1776,109985;22,9
49;8;2;second;host;30;30;guest;Forehand Unforced Error;false;false;false;07:45:20;1816,079956;13,53
50;8;2;second;host;40;30;guest;Backhand Unforced Error;true;false;false;07:45:51;1847,51001;12,78
51;9;2;second;guest;0;0;guest;Service Winner;false;false;false;07:47:11;1926,819946;8,88
52;9;2;second;guest;15;0;host;Forehand Winner;false;false;false;07:47:37;1953,48999;20,200001
53;9;2;first;guest;15;15;host;;false;false;false;07:48:21;1996,819946;2,37
54;9;2;first;guest;15;30;guest;Forehand Unforced Error;false;false;false;07:48:33;2009,160034;12,8
55;9;2;second;guest;30;30;host;;false;false;false;07:49:05;2041,119995;21,74
56;9;2;first;guest;30;40;guest;Ace;true;false;false;07:49:44;2080,72998;0,23
57;9;2;first;guest;40;40;guest;Backhand Winner;false;false;false;07:49:54;2090,209961;18,25
58;9;2;first;guest;AD;40;guest;Forehand Unforced Error;false;false;false;07:50:17;2113,330078;10,88
59;10;2;second;host;0;0;guest;;false;false;false;07:50:38;2133,830078;40,990002
60;10;2;first;host;15;0;guest;Backhand Unforced Error;false;false;false;07:51:36;2192,100098;12,82
61;10;2;first;host;30;0;guest;Forehand Unforced Error;false;false;false;07:52:08;2224,370117;4,37
62;10;2;second;host;40;0;guest;Double Fault;true;false;false;07:52:24;2240;8,63
63;11;2;second;guest;0;0;guest;Backhand Unforced Error;false;false;false;07:53:45;2321,310059;22,719999
64;11;2;first;guest;15;0;guest;Forehand Unforced Error;false;false;false;07:54:17;2353,23999;9,38
65;11;2;first;guest;30;0;guest;;false;false;false;07:54:36;2372,709961;2,53
66;11;2;first;guest;40;0;host;Forehand Unforced Error;false;false;false;07:54:54;2389,840088;7,07
67;11;2;first;guest;40;15;host;Backhand Unforced Error;false;false;false;07:55:22;2417,939941;12,48
68;11;2;second;guest;40;30;host;Forehand Unforced Error;false;false;false;07:55:53;2449,649902;21,879999
69;11;2;second;guest;40;40;host;Forehand Unforced Error;false;false;false;07:56:30;2485,97998;14,43
70;11;2;first;guest;40;AD;host;Forehand Unforced Error;true;false;false;07:57:10;2526,550049;9,98
71;12;2;first;host;0;0;host;Service Winner;false;false;false;07:57:54;2569,850098;3,08
72;12;2;second;host;0;15;guest;Double Fault;false;false;false;07:58:05;2581,120117;6,52
73;12;2;second;host;15;15;host;Backhand Unforced Error;false;false;false;07:58:29;2605,189941;22,950001
74;12;2;second;host;15;30;host;Backhand Unforced Error;false;false;false;07:59:13;2648,860107;13,98
75;12;2;first;host;15;40;host;Forehand Unforced Error;false;false;false;07:59:48;2684,560059;21,5
76;13;2;first;guest;0;0;guest;Forehand Unforced Error;false;false;false;08:01:03;2759,72998;7,52
77;13;2;second;guest;15;0;host;Forehand Unforced Error;false;false;false;08:01:25;2781,199951;13,35
78;13;2;second;guest;15;15;guest;Service Winner;false;false;false;08:02:00;2815,870117;8,68
79;13;2;first;guest;30;15;host;Forehand Unforced Error;false;false;false;08:02:20;2835,77002;7,28
80;13;2;first;guest;30;30;host;Forehand Unforced Error;false;false;false;08:02:47;2862,830078;10,6
81;13;2;first;guest;30;40;host;Forehand Winner;true;false;false;08:03:18;2894;4,57