Stat Name;Host Set 1;Guest Set 1;Host Set 2;Guest Set 2;Host Set 3;Guest Set 3;Host Set 4;Guest Set 4;Host Set 5;Guest Set 5
1st Serves;22;22;22;15;;;;;;
1st Serves In;12;17;14;8;;;;;;
1st Serves Won;6;12;7;4;;;;;;
2nd Serves;10;5;8;7;;;;;;
2nd Serves In;8;4;8;5;;;;;;
2nd Serves Won;1;2;3;2;;;;;;
Break Points;5;1;3;2;;;;;;
Break Points Saved;2;1;1;0;;;;;;
1st Returns;17;12;8;14;;;;;;
1st Returns Won;5;6;4;7;;;;;;
2nd Returns;5;10;7;8;;;;;;
2nd Returns Won;3;9;5;5;;;;;;
Break Point Opportunities;1;5;2;3;;;;;;
Break Points Won;0;3;2;2;;;;;;
Set Points Saved;0;0;0;0;;;;;;
Set Point Opportunities;0;1;0;0;;;;;;
Set Points Won;0;1;0;0;;;;;;
Total Points;44;44;37;37;;;;;;
Total Points Won;15;29;19;18;;;;;;
Aces;0;0;1;0;;;;;;
Service Winners;4;2;2;1;;;;;;
Forehand Winners;1;2;0;2;;;;;;
Backhand Winners;2;2;1;0;;;;;;
Forehand Unforced Errors;9;1;10;7;;;;;;
Backhand Unforced Errors;9;3;3;4;;;;;;
Forehand Forced Errors;0;0;0;0;;;;;;
Backhand Forced Errors;0;0;0;0;;;;;;
Calories Burned (kCAL);0;0;0;0;;;;;;
Distance Run (KM);0;0;0;0;;;;;;
Average Heart Rate (BPM);0;0;0;0;;;;;;